t,pe,ke,te,q1,q2
0.000000,-0.000000,0.000000,-0.000000,1.570796,0.000000
0.010000,-0.003517,0.003517,-0.000000,1.568346,0.002450
0.020000,-0.014070,0.014070,-0.000000,1.560996,0.009800
0.030000,-0.031654,0.031654,-0.000000,1.548747,0.022049
0.040000,-0.056262,0.056262,-0.000000,1.531599,0.039195
0.050000,-0.087871,0.087871,-0.000000,1.509555,0.061231
0.060000,-0.126432,0.126432,-0.000000,1.482624,0.088144
0.070000,-0.171860,0.171860,-0.000000,1.450815,0.119910
0.080000,-0.224015,0.224015,-0.000000,1.414149,0.156489
0.090000,-0.282684,0.282684,-0.000000,1.372655,0.197820
0.100000,-0.347563,0.347563,-0.000000,1.326377,0.243819
0.110000,-0.418233,0.418233,-0.000000,1.275372,0.294365
0.120000,-0.494145,0.494145,-0.000000,1.219719,0.349303
0.130000,-0.574597,0.574597,-0.000000,1.159518,0.408431
0.140000,-0.658724,0.658724,-0.000000,1.094896,0.471501
0.150000,-0.745491,0.745491,-0.000000,1.026007,0.538211
0.160000,-0.833689,0.833689,-0.000000,0.953036,0.608207
0.170000,-0.921950,0.921950,-0.000000,0.876199,0.681081
0.180000,-1.008771,1.008771,-0.000000,0.795746,0.756372
0.190000,-1.092540,1.092540,-0.000000,0.711958,0.833576
0.200000,-1.171592,1.171592,-0.000000,0.625149,0.912150
0.210000,-1.244259,1.244259,-0.000000,0.535662,0.991520
0.220000,-1.308935,1.308935,-0.000000,0.443870,1.071093
0.230000,-1.364143,1.364143,-0.000000,0.350171,1.150269
0.240000,-1.408605,1.408605,-0.000000,0.254983,1.228448
0.250000,-1.441302,1.441302,-0.000000,0.158746,1.305045
0.260000,-1.461526,1.461526,-0.000000,0.061912,1.379499
0.270000,-1.468917,1.468917,-0.000000,-0.035057,1.451277
0.280000,-1.463487,1.463487,-0.000000,-0.131693,1.519887
0.290000,-1.445614,1.445614,-0.000000,-0.227531,1.584876
0.300000,-1.416027,1.416027,-0.000000,-0.322110,1.645840
0.310000,-1.375765,1.375765,-0.000000,-0.414982,1.702420
0.320000,-1.326124,1.326124,-0.000000,-0.505716,1.754306
0.330000,-1.268594,1.268594,-0.000000,-0.593903,1.801234
0.340000,-1.204788,1.204788,-0.000000,-0.679159,1.842984
0.350000,-1.136372,1.136372,-0.000000,-0.761131,1.879378
0.360000,-1.065002,1.065002,-0.000000,-0.839496,1.910277
0.370000,-0.992266,0.992266,-0.000000,-0.913964,1.935575
0.380000,-0.919644,0.919644,-0.000000,-0.984278,1.955200
0.390000,-0.848470,0.848470,-0.000000,-1.050213,1.969104
0.400000,-0.779918,0.779918,-0.000000,-1.111576,1.977264
0.410000,-0.714991,0.714991,-0.000000,-1.168201,1.979673
0.420000,-0.654525,0.654525,-0.000000,-1.219950,1.976342
0.430000,-0.599197,0.599197,-0.000000,-1.266707,1.967295
0.440000,-0.549538,0.549538,-0.000000,-1.308378,1.952560
0.450000,-0.505957,0.505957,-0.000000,-1.344887,1.932174
0.460000,-0.468757,0.468757,-0.000000,-1.376171,1.906174
0.470000,-0.438154,0.438154,-0.000000,-1.402184,1.874598
0.480000,-0.414297,0.414297,-0.000000,-1.422887,1.837478
0.490000,-0.397285,0.397285,-0.000000,-1.438252,1.794844
0.500000,-0.387177,0.387177,-0.000000,-1.448258,1.746713
0.510000,-0.384008,0.384008,-0.000000,-1.452890,1.693096
0.520000,-0.387787,0.387787,-0.000000,-1.452137,1.633992
0.530000,-0.398508,0.398508,-0.000000,-1.445996,1.569385
0.540000,-0.416142,0.416142,-0.000000,-1.434464,1.499249
0.550000,-0.440637,0.440637,-0.000000,-1.417547,1.423544
0.560000,-0.471905,0.471905,-0.000000,-1.395252,1.342222
0.570000,-0.509813,0.509813,-0.000000,-1.367597,1.255226
0.580000,-0.554164,0.554164,-0.000000,-1.334604,1.162495
0.590000,-0.604679,0.604679,-0.000000,-1.296310,1.063977
0.600000,-0.660972,0.660972,-0.000000,-1.252765,0.959630
0.610000,-0.722533,0.722533,-0.000000,-1.204036,0.849441
0.620000,-0.788698,0.788698,-0.000000,-1.150220,0.733439
0.630000,-0.858634,0.858634,-0.000000,-1.091441,0.611713
0.640000,-0.931321,0.931321,-0.000000,-1.027868,0.484432
0.650000,-1.005551,1.005551,-0.000000,-0.959711,0.351864
0.660000,-1.079934,1.079934,-0.000000,-0.887237,0.214391
0.670000,-1.152932,1.152932,-0.000000,-0.810768,0.072521
0.680000,-1.222899,1.222899,-0.000000,-0.730680,-0.073114
0.690000,-1.288150,1.288150,-0.000000,-0.647399,-0.221773
0.700000,-1.347039,1.347039,-0.000000,-0.561388,-0.372627
0.710000,-1.398030,1.398030,-0.000000,-0.473136,-0.524799
0.720000,-1.439779,1.439779,-0.000000,-0.383136,-0.677402
0.730000,-1.471183,1.471183,-0.000000,-0.291875,-0.829579
0.740000,-1.491426,1.491426,-0.000000,-0.199822,-0.980536
0.750000,-1.499992,1.499992,-0.000000,-0.107418,-1.129567
0.760000,-1.496671,1.496671,-0.000000,-0.015078,-1.276064
0.770000,-1.481547,1.481547,-0.000000,0.076809,-1.419519
0.780000,-1.454983,1.454983,-0.000000,0.167875,-1.559523
0.790000,-1.417595,1.417595,-0.000000,0.257769,-1.695754
0.800000,-1.370224,1.370224,-0.000000,0.346151,-1.827967
0.810000,-1.313904,1.313904,-0.000000,0.432694,-1.955979
0.820000,-1.249827,1.249827,-0.000000,0.517076,-2.079660
0.830000,-1.179303,1.179303,-0.000000,0.598985,-2.198924
0.840000,-1.103714,1.103714,-0.000000,0.678122,-2.313711
0.850000,-1.024478,1.024478,-0.000000,0.754199,-2.423986
0.860000,-0.943000,0.943000,-0.000000,0.826949,-2.529730
0.870000,-0.860636,0.860636,-0.000000,0.896123,-2.630932
0.880000,-0.778661,0.778661,-0.000000,0.961498,-2.727587
0.890000,-0.698242,0.698242,-0.000000,1.022876,-2.819689
0.900000,-0.620423,0.620423,-0.000000,1.080084,-2.907233
0.910000,-0.546111,0.546111,-0.000000,1.132977,-2.990211
0.920000,-0.476080,0.476080,-0.000000,1.181435,-3.068610
0.930000,-0.410972,0.410972,-0.000000,1.225360,-3.142417
0.940000,-0.351308,0.351308,-0.000000,1.264676,-3.211614
0.950000,-0.297499,0.297499,-0.000000,1.299325,-3.276182
0.960000,-0.249865,0.249865,-0.000000,1.329263,-3.336099
0.970000,-0.208644,0.208644,-0.000000,1.354461,-3.391347
0.980000,-0.174012,0.174012,-0.000000,1.374897,-3.441906
0.990000,-0.146092,0.146092,-0.000000,1.390558,-3.487759
1.000000,-0.124968,0.124968,-0.000000,1.401438,-3.528895
1.010000,-0.110692,0.110692,-0.000000,1.407532,-3.565307
1.020000,-0.103291,0.103291,-0.000000,1.408843,-3.596991
1.030000,-0.102771,0.102771,-0.000000,1.405372,-3.623955
1.040000,-0.109117,0.109117,-0.000000,1.397126,-3.646212
1.050000,-0.122289,0.122289,-0.000000,1.384112,-3.663784
1.060000,-0.142224,0.142224,-0.000000,1.366342,-3.676705
1.070000,-0.168822,0.168822,-0.000000,1.343831,-3.685018
1.080000,-0.201938,0.201938,-0.000000,1.316600,-3.688781
1.090000,-0.241376,0.241376,-0.000000,1.284677,-3.688064
1.100000,-0.286866,0.286866,-0.000000,1.248099,-3.682949
1.110000,-0.338058,0.338058,-0.000000,1.206914,-3.673537
1.120000,-0.394503,0.394503,-0.000000,1.161182,-3.659942
1.130000,-0.455639,0.455639,-0.000000,1.110981,-3.642294
1.140000,-0.520777,0.520777,-0.000000,1.056407,-3.620743
1.150000,-0.589097,0.589097,-0.000000,0.997577,-3.595453
1.160000,-0.659634,0.659634,-0.000000,0.934632,-3.566605
1.170000,-0.731287,0.731287,-0.000000,0.867740,-3.534399
1.180000,-0.802827,0.802827,-0.000000,0.797099,-3.499050
1.190000,-0.872911,0.872911,-0.000000,0.722936,-3.460788
1.200000,-0.940116,0.940116,-0.000000,0.645509,-3.419857
1.210000,-1.002974,1.002974,-0.000000,0.565111,-3.376515
